id,username,content,date
1643496052493029376,rudijntm,"@RamliRizal Buktiin om rizal 349T drmana aja, itu baru data awal dan itupun yg request juga dr internal kemenkeu sendiri untuk pengembangan kasus fraud",2023-04-05 06:09:28+00:00
1643491587727720449,Jak_kustar,@mulaigoyang @fajarnugros Kemenkeu bermasalah zaman Sby lgs dipecat akhirnya kabur ke Amrik. Skrg ditarik lagi 2 periode. Yg dibahas hambalang kerugian 8M apa ya lupa. Ini ratusan T. Wkwkwkwkwk makin mahir,2023-04-05 05:51:43+00:00
1643485953707880448,bonniebulb,@chenoa2104 @GeiszChalifah Intinya mau kriminalisasi Anies...lagi dicari2 motifnya... kenapa itu Kemenkeu yg segitu banyak trilyun ga dikerjain...jgn sampe kerja krn ada yg bayar ya,2023-04-05 05:29:20+00:00
1643482569101709312,collegemenfess,"[cm] temen temen di sini ada yang ikutan magang kemenkeu waktu batch 1 kemarin ngga ya? kalau ada rep ya, aku mau nanya nanya
terima kasih 🙏🏻",2023-04-05 05:15:53+00:00
1643481508878102530,matchachea,kenapa pada bilang magang di kemenkeu gabut ya mana 2 bulan keknya mending apply di OJK 1 bulan,2023-04-05 05:11:40+00:00
1643479049854140416,PajakBengkulu2,Acara ini ditujukan kepada para UMKM Binaan seluruh Instansi Kementerian Keuangan di Provinsi Bengkulu. KPP Pratama Bengkulu Dua bersama Kemenkeu Satu Bengkulu mendukung pemberdayaan UMKM di Provinsi Bengkulu.,2023-04-05 05:01:54+00:00
1643474561625894912,CacingWormy,"@heru_hasnul @tukangbaca2000 @PartaiSocmed Kata siapa ada tekanan hebat? Kenapa sekarang ada kasus 349 T di kemenkeu, KPK gak ngambil kasus itu? Terus kalo seandainya gak ada kasus penganiayaan David, apakah KPK bisa nangkep Rafael? Selama ini KPK ngapain aja?",2023-04-05 04:44:04+00:00
1643473745494028290,AaGemss,"@KemenkeuRI Mau menarik simpati umat Islam? gak gini caranya bro haha

Kemenkeu ini ibarat orang yang udah mau tenggelam, apa aja dipegang dan dilakuin biar bisa selamat 🤣",2023-04-05 04:40:49+00:00
1643471476862107648,AchilDawn,"@Fahrihamzah Dulu saya respect liat abangda, tp dah nyerang pribadi, hilang smua respectnya. Kalau abang tau ada korupsi di esdm atau kemenkeu. Kenapa juga ga abang bersuara lantang di KPK tanpa hrs tnggu dukungan bang didu. ADA APA DENGAN Abang FH?",2023-04-05 04:31:48+00:00
1643466777660375042,dmtrowo,"@RezaMuhammadN lha ada kasus oknum kemenkeu, masalahe neng perilaku maling e.. kok yg disosialisasikan jangan hedon jangan flexing, moso logikane ngono😂",2023-04-05 04:13:08+00:00
